transaction_id,date,track_id,track_title,artist_id,artist_name,role,income_type,source,revenue_gross,revenue_net,streams
TX-2001,2026-03-01,TRK-001,Новый фит,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,90000,27000,108000
TX-2002,2026-03-01,TRK-001,Новый фит,ART-01,Morgenshtern,Автор,Стриминг,Яндекс Музыка,90000,36000,108000
TX-2003,2026-03-01,TRK-001,Новый фит,ART-02,SODA LUV,Фит,Стриминг,Яндекс Музыка,90000,27000,108000
TX-2004,2026-03-01,TRK-002,Сольный хит,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,115560,34668,159473
TX-2005,2026-03-01,TRK-002,Сольный хит,ART-01,Morgenshtern,Автор,Стриминг,VK Музыка,115560,80892,159473
TX-2006,2026-03-01,TRK-003,Трек для сериала,LABEL,Лейбл,Лейбл,Стриминг,Звук,143840,43152,224390
TX-2007,2026-03-01,TRK-003,Трек для сериала,ART-03,Instasamka,Автор,Стриминг,Звук,143840,100688,224390
TX-2008,2026-03-01,TRK-004,Neon Rain,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,141000,35250,0
TX-2009,2026-03-01,TRK-004,Neon Rain,ART-04,Masha Wave,Автор,Синхронизация,Кинопоиск,141000,105750,0
TX-2010,2026-03-01,TRK-005,City Lights,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,170640,47779,204768
TX-2011,2026-03-01,TRK-005,City Lights,ART-05,Nikita Flow,Автор,Стриминг,Яндекс Музыка,170640,85320,204768
TX-2012,2026-03-01,TRK-005,City Lights,ART-06,Anna Synth,Фит,Стриминг,Яндекс Музыка,170640,37541,204768
TX-2013,2026-03-01,TRK-006,Velvet Bass,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,203000,44660,280140
TX-2014,2026-03-01,TRK-006,Velvet Bass,ART-06,Anna Synth,Автор,Стриминг,VK Музыка,203000,103530,280140
TX-2015,2026-03-01,TRK-006,Velvet Bass,ART-04,Masha Wave,Фит,Стриминг,VK Музыка,203000,54810,280140
TX-2016,2026-03-01,TRK-007,Northern Echo,LABEL,Лейбл,Лейбл,Стриминг,Звук,192000,57600,299520
TX-2017,2026-03-01,TRK-007,Northern Echo,ART-01,Morgenshtern,Автор,Стриминг,Звук,192000,67200,299520
TX-2018,2026-03-01,TRK-007,Northern Echo,ART-05,Nikita Flow,Фит,Стриминг,Звук,192000,33600,299520
TX-2019,2026-03-01,TRK-007,Northern Echo,ART-02,SODA LUV,Фит,Стриминг,Звук,192000,33600,299520
TX-2020,2026-04-01,TRK-001,Новый фит,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,113000,33900,155940
TX-2021,2026-04-01,TRK-001,Новый фит,ART-01,Morgenshtern,Автор,Стриминг,VK Музыка,113000,45200,155940
TX-2022,2026-04-01,TRK-001,Новый фит,ART-02,SODA LUV,Фит,Стриминг,VK Музыка,113000,33900,155940
TX-2023,2026-04-01,TRK-002,Сольный хит,LABEL,Лейбл,Лейбл,Стриминг,Звук,140400,42120,219024
TX-2024,2026-04-01,TRK-002,Сольный хит,ART-01,Morgenshtern,Автор,Стриминг,Звук,140400,98280,219024
TX-2025,2026-04-01,TRK-003,Трек для сериала,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,170520,51156,0
TX-2026,2026-04-01,TRK-003,Трек для сериала,ART-03,Instasamka,Автор,Синхронизация,Кинопоиск,170520,119364,0
TX-2027,2026-04-01,TRK-004,Neon Rain,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,164000,41000,196800
